,Country,Happiness,GDP per Capita,Social Support,Life Expectancy,Freedom,Corruption,Generosity,Year,latitude,longitude
0,Switzerland,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2015,46.818188,8.227512
1,Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2016,46.818188,8.227512
2,Switzerland,7.493999958,1.564979553,1.516911745,0.858131289,0.620070577,0.290549278,0.367007285,2017,46.818188,8.227512
3,Switzerland,7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018,46.818188,8.227512
4,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,2019,46.818188,8.227512
5,Switzerland,7.559899807,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,2020,46.818188,8.227512
6,Switzerland,7.571,11.117,0.942,74.4,0.919,0.025,0.292,2021,46.818188,8.227512
7,Iceland,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2015,64.963051,-19.020835
8,Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2016,64.963051,-19.020835
9,Iceland,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,2017,64.963051,-19.020835
10,Iceland,7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018,64.963051,-19.020835
11,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,2019,64.963051,-19.020835
12,Iceland,7.504499912,10.77255917,0.974669576,73.0,0.948891878,0.246944219,0.711709738,2020,64.963051,-19.020835
13,Iceland,7.554,10.878,0.983,73.0,0.955,0.16,0.673,2021,64.963051,-19.020835
14,Denmark,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2015,56.26392,9.501785
15,Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2016,56.26392,9.501785
16,Denmark,7.521999836,1.482383013,1.551121593,0.792565525,0.626006722,0.355280489,0.400770068,2017,56.26392,9.501785
17,Denmark,7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018,56.26392,9.501785
